date,score,percent
2019-11-18,-20.0,-28.57142857142857
2019-11-19,-20.0,-28.57142857142857
2019-11-20,-20.0,-28.57142857142857
2019-11-21,-20.0,-28.57142857142857
2019-11-22,-30.0,-42.857142857142854
2019-11-25,-30.0,-42.857142857142854
2019-11-26,-30.0,-42.857142857142854
2019-11-27,-20.0,-28.57142857142857
2019-11-28,-20.0,-28.57142857142857
2019-11-29,-20.0,-28.57142857142857
2019-12-02,-20.0,-28.57142857142857
2019-12-03,-20.0,-28.57142857142857
2019-12-04,-20.0,-28.57142857142857
2019-12-05,-30.0,-42.857142857142854
2019-12-06,-10.0,-14.285714285714285
2019-12-09,-20.0,-28.57142857142857
2019-12-10,-20.0,-28.57142857142857
2019-12-11,-20.0,-28.57142857142857
2019-12-12,-20.0,-28.57142857142857
2019-12-13,40.0,57.14285714285714
2019-12-16,40.0,57.14285714285714
2019-12-17,70.0,100.0
2019-12-18,70.0,100.0
2019-12-19,70.0,100.0
2019-12-20,50.0,71.42857142857143
2019-12-23,30.0,42.857142857142854
2019-12-24,20.0,28.57142857142857
2019-12-25,30.0,42.857142857142854
2019-12-26,30.0,42.857142857142854
2019-12-27,30.0,42.857142857142854
2019-12-30,50.0,71.42857142857143
2019-12-31,50.0,71.42857142857143
2020-01-02,70.0,100.0
2020-01-03,50.0,71.42857142857143
2020-01-06,50.0,71.42857142857143
2020-01-07,50.0,71.42857142857143
2020-01-08,30.0,42.857142857142854
2020-01-09,50.0,71.42857142857143
2020-01-10,40.0,57.14285714285714
2020-01-13,40.0,57.14285714285714
2020-01-14,40.0,57.14285714285714
2020-01-15,20.0,28.57142857142857
2020-01-16,20.0,28.57142857142857
2020-01-17,20.0,28.57142857142857
2020-01-20,20.0,28.57142857142857
2020-01-21,20.0,28.57142857142857
2020-01-22,20.0,28.57142857142857
2020-01-23,20.0,28.57142857142857
2020-02-03,-50.0,-71.42857142857143
2020-02-04,-60.0,-85.71428571428571
2020-02-05,-40.0,-57.14285714285714
2020-02-06,-50.0,-71.42857142857143
2020-02-07,-50.0,-71.42857142857143
2020-02-10,-30.0,-42.857142857142854
2020-02-11,-30.0,-42.857142857142854
2020-02-12,-20.0,-28.57142857142857
2020-02-13,-30.0,-42.857142857142854
2020-02-14,-20.0,-28.57142857142857
2020-02-17,-20.0,-28.57142857142857
2020-02-18,-20.0,-28.57142857142857
2020-02-19,-20.0,-28.57142857142857
2020-02-20,-20.0,-28.57142857142857
2020-02-21,-20.0,-28.57142857142857
2020-02-24,-10.0,-14.285714285714285
2020-02-25,30.0,42.857142857142854
2020-02-26,30.0,42.857142857142854
2020-02-27,30.0,42.857142857142854
2020-02-28,10.0,14.285714285714285
2020-03-02,20.0,28.57142857142857
2020-03-03,20.0,28.57142857142857
2020-03-04,50.0,71.42857142857143
2020-03-05,50.0,71.42857142857143
2020-03-06,50.0,71.42857142857143
2020-03-09,20.0,28.57142857142857
2020-03-10,50.0,71.42857142857143
2020-03-11,10.0,14.285714285714285
2020-03-12,10.0,14.285714285714285
2020-03-13,-40.0,-57.14285714285714
2020-03-16,-40.0,-57.14285714285714
2020-03-17,-40.0,-57.14285714285714
2020-03-18,-60.0,-85.71428571428571
2020-03-19,-60.0,-85.71428571428571
2020-03-20,-40.0,-57.14285714285714
2020-03-23,-60.0,-85.71428571428571
2020-03-24,-40.0,-57.14285714285714
2020-03-25,-20.0,-28.57142857142857
2020-03-26,-20.0,-28.57142857142857
2020-03-27,-20.0,-28.57142857142857
2020-03-30,-20.0,-28.57142857142857
2020-03-31,-20.0,-28.57142857142857
2020-04-01,-20.0,-28.57142857142857
2020-04-02,-20.0,-28.57142857142857
2020-04-03,-20.0,-28.57142857142857
2020-04-07,-10.0,-14.285714285714285
2020-04-08,-10.0,-14.285714285714285
2020-04-09,-10.0,-14.285714285714285
2020-04-10,-20.0,-28.57142857142857
2020-04-13,-20.0,-28.57142857142857
2020-04-14,10.0,14.285714285714285
2020-04-15,10.0,14.285714285714285
2020-04-16,10.0,14.285714285714285
2020-04-17,20.0,28.57142857142857
2020-04-20,10.0,14.285714285714285
2020-04-21,20.0,28.57142857142857
2020-04-22,10.0,14.285714285714285
2020-04-23,20.0,28.57142857142857
2020-04-24,10.0,14.285714285714285
2020-04-27,0.0,0.0
2020-04-28,10.0,14.285714285714285
2020-04-29,10.0,14.285714285714285
2020-04-30,20.0,28.57142857142857
2020-05-06,20.0,28.57142857142857
2020-05-07,10.0,14.285714285714285
2020-05-08,40.0,57.14285714285714
2020-05-11,20.0,28.57142857142857
2020-05-12,10.0,14.285714285714285
2020-05-13,10.0,14.285714285714285
2020-05-14,10.0,14.285714285714285
2020-05-15,10.0,14.285714285714285
2020-05-18,20.0,28.57142857142857
2020-05-19,10.0,14.285714285714285
2020-05-20,10.0,14.285714285714285
2020-05-21,10.0,14.285714285714285
2020-05-22,0.0,0.0
2020-05-25,0.0,0.0
2020-05-26,0.0,0.0
2020-05-27,0.0,0.0
2020-05-28,0.0,0.0
2020-05-29,-10.0,-14.285714285714285
2020-06-01,-20.0,-28.57142857142857
2020-06-02,-20.0,-28.57142857142857
2020-06-03,-10.0,-14.285714285714285
2020-06-04,-10.0,-14.285714285714285
2020-06-05,50.0,71.42857142857143
2020-06-08,50.0,71.42857142857143
2020-06-09,40.0,57.14285714285714
2020-06-10,40.0,57.14285714285714
2020-06-11,30.0,42.857142857142854
2020-06-12,30.0,42.857142857142854
2020-06-15,20.0,28.57142857142857
2020-06-16,30.0,42.857142857142854
2020-06-17,30.0,42.857142857142854
2020-06-18,30.0,42.857142857142854
2020-06-19,50.0,71.42857142857143
2020-06-22,30.0,42.857142857142854
2020-06-23,40.0,57.14285714285714
2020-06-24,40.0,57.14285714285714
2020-06-29,20.0,28.57142857142857
2020-06-30,40.0,57.14285714285714
2020-07-01,50.0,71.42857142857143
2020-07-02,70.0,100.0
2020-07-03,70.0,100.0
2020-07-06,70.0,100.0
2020-07-07,70.0,100.0
2020-07-08,70.0,100.0
2020-07-09,70.0,100.0
2020-07-10,70.0,100.0
2020-07-13,70.0,100.0
2020-07-14,70.0,100.0
2020-07-15,50.0,71.42857142857143
2020-07-16,30.0,42.857142857142854
2020-07-17,20.0,28.57142857142857
2020-07-20,20.0,28.57142857142857
2020-07-21,20.0,28.57142857142857
2020-07-22,20.0,28.57142857142857
2020-07-23,40.0,57.14285714285714
2020-07-24,10.0,14.285714285714285
2020-07-27,10.0,14.285714285714285
2020-07-28,10.0,14.285714285714285
2020-07-29,20.0,28.57142857142857
2020-07-30,20.0,28.57142857142857
2020-07-31,0.0,0.0
2020-08-03,0.0,0.0
2020-08-04,-10.0,-14.285714285714285
2020-08-05,0.0,0.0
2020-08-06,-10.0,-14.285714285714285
2020-08-07,0.0,0.0
2020-08-10,20.0,28.57142857142857
2020-08-11,30.0,42.857142857142854
2020-08-12,20.0,28.57142857142857
2020-08-13,20.0,28.57142857142857
2020-08-14,20.0,28.57142857142857
2020-08-17,70.0,100.0
2020-08-18,70.0,100.0
2020-08-19,50.0,71.42857142857143
2020-08-20,40.0,57.14285714285714
2020-08-21,20.0,28.57142857142857
2020-08-24,20.0,28.57142857142857
2020-08-25,20.0,28.57142857142857
2020-08-26,10.0,14.285714285714285
